BAS_DD,VOL,DIFF_DAY,MMF,KOSPI200,LAG_VK200,PRIOR,TARGET_C_K,TARGET_P_K,PRICE_TARGET_C_K,PRICE_TARGET_P_K,ACC_TRDVOL_TARGET_C_K,ACC_TRDVOL_TARGET_P_K,SELL_AMT,PREMIUM,INTEREST,EXERCISE,REVENUE,RATE
20210408,0.02416562428865172,7,0.006500000000000001,426.86,17.45,21043,437.5,415,0.3,0.65,1424,1679,93.70753877149416,22255540.458229862,1249349.6632626012,0,23504890.121492464,0.0023504890121492463
20210415,0.022836168740393514,7,0.0061,432.66,16.49,21044,445,422.5,0.28,0.75,2518,2416,92.4513474783895,23806221.9756853,1172648.0155571555,0,24978869.991242453,0.0024978869991242455
20210422,0.026242898582805166,7,0.006500000000000001,427.37,18.95,21045,440,415,0.33,0.51,2544,2239,93.5957133163301,19655099.79642932,1249025.4987417466,0,20904125.295171067,0.0020904125295171066
20210429,0.0262013530969221,7,0.0063,426.28,18.92,21051,437.5,415,0.46,0.88,2528,1559,93.83503800319039,31434737.731068783,1212017.183380658,0,32646754.914449442,0.003264675491444944
20210506,0.023390108552167773,7,0.0062,426.64,16.89,21052,437.5,415,0.35,0.8,85039,88153,93.75585974123383,26954809.675604723,1192246.1335340308,0,28147055.809138753,0.0028147055809138754
20210513,0.030702114067587893,7,0.0062,416.07,22.17,21053,430,402.5,0.4,1.12,1684,4592,96.13766914221165,36532314.27404043,1193384.9381903927,0,37725699.212230824,0.0037725699212230825
20210520,0.025245806921611512,7,0.0059,421.68,18.23,21054,432.5,410,0.41,0.74,1893,1471,94.8586605957124,27271864.921267312,1134592.6795102693,0,28406457.60077758,0.0028406457600777583
20210527,0.025868989209857543,7,0.006,423,18.68,21061,435,410,0.24,0.5,2815,4013,94.56264775413712,17494089.834515367,1152697.9500631497,0,18646787.784578517,0.0018646787784578516
20210603,0.023030047674514505,7,0.0061,433.87,16.63,21062,445,422.5,0.61,0.84,134805,58468,92.193514186277,33420148.892525412,1173772.7133087968,0,34593921.60583421,0.0034593921605834206
20210610,0.022960805198042725,7,0.0059,429.35,16.58,21063,440,417.5,0.32,0.46,2633,1269,93.164085245138,18166996.62280191,1133562.457426087,0,19300559.080227997,0.0019300559080227997
