BAS_DD,MMF
20220818,2.38
20220819,2.43
20220822,2.43
20220823,2.43
20220824,2.43
20220825,2.43
20220826,2.47
20220829,2.47
20220830,2.47
20220831,2.47
20220901,2.47
20220902,2.55
20220905,2.55
20220906,2.55
20220907,2.55
20220908,2.57
20220913,2.57
20220914,2.57
20220915,2.57
20220916,2.65
20220919,2.65
20220920,2.65
20220921,2.65
20220922,2.65
20220923,2.7
20220926,2.7
20220927,2.7
20220928,2.7
20220929,2.7
20220930,2.78
20221004,2.78
20221005,2.78
20221006,2.78
20221007,2.93
20221011,2.93
20221012,2.93
20221013,2.93
20221014,2.99
20221017,2.99
20221018,2.99
20221019,2.99
20221020,2.99
20221021,3.16
20221024,3.16
20221025,3.16
20221026,3.16
20221027,3.16
20221028,3.29
20221031,3.29
20221101,3.29
20221102,3.29
20221103,3.29
20221104,3.33
20221107,3.33
20221108,3.33
20221109,3.33
20221110,3.33
20221111,3.41
20221114,3.41
20221115,3.41
20221116,3.41
20221117,3.41
20221118,3.57
20221121,3.57
20221122,3.57
20221123,3.57
20221124,3.57
20221125,3.64
20221128,3.64
20221129,3.64
20221130,3.64
20221201,3.64
20221202,3.78
20221205,3.78
20221206,3.78
20221207,3.78
20221208,3.78
20221209,3.82
20221212,3.82
20221213,3.82
20221214,3.82
20221215,3.82
20221216,3.97
20221219,3.97
20221220,3.97
20221221,3.97
20221222,3.97
20221223,3.95
20221226,3.95
20221227,3.95
20221228,3.95
20221229,3.95
20221230,4.05
20230102,4.05
20230103,4.05
20230104,4.05
20230105,4.05
20230106,4.08
20230109,4.08
20230110,4.08
20230111,4.08
20230112,4.08
20230113,3.92
20230116,3.92
20230117,3.92
20230118,3.92
20230119,3.92
20230120,3.91
20230125,3.91
20230126,3.91
20230127,3.9
20230130,3.9
20230131,3.9
20230201,3.9
20230202,3.9
20230203,3.84
20230206,3.84
20230207,3.84
20230208,3.84
20230209,3.84
20230210,3.85
20230213,3.85
20230214,3.85
20230215,3.85
20230216,3.85
20230217,4.05
20230220,4.05
20230221,4.05
20230222,4.05
20230223,4.05
20230224,3.82
20230227,3.82
20230228,3.82
20230302,3.82
20230303,3.83
20230306,3.83
20230307,3.83
20230308,3.83
20230309,3.83
20230310,3.8
20230313,3.8
20230314,3.8
20230315,3.8
20230316,3.8
20230317,3.8
20230320,3.8
20230321,3.8
20230322,3.8
20230323,3.8
20230324,3.77
20230327,3.77
20230328,3.77
20230329,3.77
20230330,3.77
20230331,3.73
20230403,3.73
20230404,3.73
20230405,3.73
20230406,3.73
20230407,3.72
20230410,3.72
20230411,3.72
20230412,3.72
20230413,3.72
20230414,3.72
20230417,3.72
20230418,3.72
20230419,3.72
20230420,3.72
20230421,3.66
20230424,3.66
20230425,3.66
20230426,3.66
20230427,3.66
20230428,3.7
20230502,3.7
20230503,3.7
20230504,3.68
20230508,3.68
20230509,3.68
20230510,3.68
20230511,3.68
20230512,3.7
20230515,3.7
20230516,3.7
20230517,3.7
20230518,3.7
20230519,3.69
20230522,3.69
20230523,3.69
20230524,3.69
20230525,3.69
20230526,3.68
20230530,3.68
20230531,3.68
20230601,3.68
20230602,3.68
20230605,3.68
20230607,3.68
20230608,3.68
20230609,3.68
20230612,3.68
20230613,3.68
20230614,3.68
20230615,3.68
20230616,3.71
20230619,3.71
20230620,3.71
20230621,3.71
20230622,3.71
20230623,3.72
20230626,3.72
20230627,3.72
20230628,3.72
20230629,3.72
20230630,3.73
20230703,3.73
20230704,3.73
20230705,3.73
20230706,3.73
20230707,3.76
20230710,3.76
20230711,3.76
20230712,3.76
20230713,3.76
20230714,3.75
20230717,3.75
20230718,3.75
20230719,3.75
20230720,3.75
20230721,3.73
20230724,3.73
20230725,3.73
20230726,3.73
20230727,3.73
20230728,3.72
20230731,3.72
20230801,3.72
20230802,3.72
20230803,3.72
20230804,3.7
20230807,3.7
20230808,3.7
20230809,3.7
20230810,3.7
20230811,3.72
20230814,3.72
20230816,3.72
20230817,3.72
20230818,3.73
20230821,3.73
20230822,3.73
20230823,3.73
20230824,3.73
20230825,3.74
20230828,3.74
20230829,3.74
20230830,3.74
20230831,3.74
20230901,3.74
20230904,3.74
20230905,3.74
20230906,3.74
20230907,3.74
20230908,3.73
20230911,3.73
20230912,3.73
20230913,3.73
20230914,3.73
20230915,3.76
20230918,3.76
20230919,3.76
20230920,3.76
20230921,3.76
20230922,3.78
20230925,3.78
20230926,3.78
20230927,3.81
20231004,3.81
20231005,3.81
20231006,3.86
20231010,3.86
20231011,3.86
20231012,3.86
20231013,3.82
20231016,3.82
20231017,3.82
20231018,3.82
20231019,3.82
20231020,3.8
20231023,3.8
20231024,3.8
20231025,3.8
20231026,3.8
20231027,3.82
20231030,3.82
20231031,3.82
20231101,3.82
20231102,3.82
20231103,3.83
20231106,3.83
20231107,3.83
20231108,3.83
20231109,3.83
20231110,3.85
20231113,3.85
20231114,3.85
20231115,3.85
20231116,3.85
20231117,3.93
20231120,3.93
20231121,3.93
20231122,3.93
20231123,3.93
20231124,3.95
20231127,3.95
20231128,3.95
20231129,3.95
20231130,3.95
20231201,3.97
