BAS_DD,KOSPI200,VKOSPI200
20210906,420.37,14.24
20210903,419.22,14.62
20210902,415.89,15.25
20210901,419.92,14.96
20210831,419.79,14.76
20210830,411.5,15.88
20210827,410.24,16.17
20210826,410.38,16.15
20210825,413.95,15.48
20210824,412.48,15.62
20210823,404.58,17.29
20210820,400.78,18.92
20210819,404.96,17.82
20210818,413.36,15.48
20210817,411.31,16.34
20210813,416.06,15.45
20210812,422.38,14.09
20210811,424.74,15.12
20210810,428.56,14.52
20210809,431.65,14.28
20210806,433.29,14.18
20210805,434.74,14.53
20210804,436.05,14.77
20210803,429.98,14.78
20210802,426.79,15.77
20210730,423.91,17.3
20210729,429.49,15.58
20210728,429.15,16.11
20210727,428.22,15.75
20210726,427.47,16.05
20210723,431.55,14.42
20210722,431.38,14.6
20210721,426,16.12
20210720,428.55,15.68
20210719,429.89,15.25
20210716,434.82,13.23
20210715,436.76,13.04
20210714,433.57,12.97
20210713,434.71,12.55
20210712,431.28,13.62
20210709,427.84,15.12
20210708,432.63,14.19
20210707,436.97,13.29
20210706,439.5,12.71
20210705,437.66,13.11
20210702,436,13.74
20210701,436.34,14.33
20210630,438.84,14.17
20210629,437.54,14.52
20210628,439.98,14.8
20210625,440.4,14.82
20210624,438.38,14.84
20210623,436.73,14.75
20210622,434.42,15.11
20210621,431.46,16.28
20210618,435.02,14.62
20210617,434.73,14.98
20210616,436.96,14.7
20210615,434.13,14.33
20210614,433.22,14.46
20210611,432.78,14.51
20210610,429.35,15.44
20210609,428.16,16.58
20210608,432.88,16.24
20210607,433.26,17.04
20210604,432.22,17.43
20210603,433.87,17.48
20210602,430.15,16.63
20210601,430.32,16.48
20210531,427.91,17.04
20210528,425.95,17.31
20210527,423,18.29
20210526,423.54,18.68
20210525,424.35,18.99
20210524,420.57,20.59
20210521,422.08,20.09
20210520,421.68,19.12
20210518,423.09,18.23
20210517,418.27,19.29
20210514,420.17,19.32
20210513,416.07,21.9
20210512,421.86,22.17
20210511,428.77,20
20210510,435.63,17.34
20210507,428.56,16.43
20210506,426.64,17
20210504,423.57,16.89
20210503,420.36,18.09
20210430,422.36,18.84
20210429,426.28,18.92
20210428,427.48,18.92
20210427,432.14,18.1
20210426,432.36,18.36
20210423,428.34,18.33
20210422,427.37,17.86
20210421,426.75,18.95
20210420,434.6,17.96
20210419,431.96,18.04
20210416,432.43,17.61
20210415,432.66,17.6
20210414,430.71,16.49
20210413,429.08,17.11
20210412,424.22,16.54
20210409,424.3,16.69
20210408,426.86,16.19
20210407,426.7,17.45
20210406,425.88,18.34
20210405,424.85,18.97
20210402,423.74,19.51
20210401,419.42,19.88
20210331,415.04,20.44
20210330,416.61,20.64
20210329,412.05,21.01
20210326,412.89,20.36
20210325,408.53,21.69
20210324,407.1,22.71
20210323,408.71,23.19
20210322,412.64,23.7
20210319,412.91,23.61
20210318,417.06,22.69
20210317,414.01,24.53
20210316,417.31,24.28
20210315,414.18,25.9
20210312,416.13,25.64
20210311,411.02,26.45
20210310,403.48,28.85
20210309,405.79,29.78
20210308,408.34,29.48
20210305,412,29.09
20210304,414.17,29.5
20210303,420.27,28.31
20210302,414.8,30.97
20210226,409.91,31.34
20210225,422.52,27.92
20210224,407.16,28.93
20210223,415.82,27.16
20210222,416.88,27.64
20210219,420.94,26.86
20210218,417.44,26.1
20210217,424.2,25.58
20210216,429.24,25.08
20210215,427.01,26.22
20210210,419.65,26.43
20210209,417.91,25.21
20210208,418.95,27.33
20210205,423.3,28.65
20210204,418.31,32.06
20210203,425.21,31.29
20210202,421.03,33.4
20210201,415.45,34.16
20210129,404.56,35.73
20210128,416.4,33.09
20210127,423.67,29.41
20210126,426.73,29.99
20210125,437.3,28.97
20210122,427.13,29.36
20210121,430.27,30.63
20210120,424.01,33.32
20210119,421.35,34.08
20210118,410.5,33.18
20210115,420.43,31.56
20210114,429.85,29.68
20210113,430.38,32
20210112,427.87,34.95
20210111,431.13,35.65
20210108,430.22,29.18
20210107,410.81,26.75
20210106,402.08,27.6
20210105,406.03,26.22
20210104,399.88,24.81
20201230,389.29,22.09
20201229,381.27,21.63
20201228,379.93,23.14
20201224,379.18,21.53
20201223,371.32,21.52
20201222,366.43,22.85
20201221,372.18,20.54
20201218,371.55,19.57
20201217,372,19.85
20201216,372.53,20.4
20201215,370.88,21.27
20201214,371.56,21.25
20201211,372.24,19.85
20201210,369.37,20.03
20201209,371.47,20.15
20201208,363.45,20.7
20201207,369.86,21.3
20201204,367.63,21.01
20201203,361.66,20.02
20201202,358.66,20.18
20201201,352.4,20.21
20201130,346.05,20.77
20201127,352.73,19.66
20201126,352.12,20
20201125,348.3,20.82
20201124,350.28,19.81
20201123,348.46,19.79
20201120,340.62,19.21
20201119,340.16,19.41
20201118,339.96,19.63
20201117,339.85,19.72
20201116,340.63,20.5
20201113,333.03,19.77
20201112,329.72,19.85
20201111,331.12,20.68
20201110,326.13,21.02
20201109,325.83,21.58
20201106,322.1,21.74
20201105,321.51,22.16
20201104,313.83,24.75
20201103,312.07,26.54
20201102,305.95,28.65
20201030,301.6,31.97
20201029,309.94,25.9
20201028,313.17,23.29
20201027,311.8,23.58
20201026,313.53,22.94
20201023,314.79,21.9
20201022,313.77,22.54
20201021,315.76,21.88
20201020,314.71,22.18
20201019,312.59,22.51
20201016,311.83,22.03
20201015,313.92,21.47
20201014,316.57,20.97
20201013,319.58,20.34
20201012,319.15,20.36
20201008,317.47,21
20201007,317.35,21.55
20201006,314.45,22.29
20201005,313.51,23.87
20200929,309.44,24.15
20200928,307.03,25.01
20200925,303.57,26.13
20200924,302.48,27.21
20200923,309.64,24.64
20200922,308.82,25.2
20200921,315.89,23.31
20200918,318.39,21.59
20200917,318,22.31
20200916,322.31,21.05
20200915,323.36,20.97
20200914,320.98,21.28
20200911,316.45,21.68
20200910,316.53,22.14
20200909,313.77,24.73
20200908,317.38,23.87
20200907,313.67,25.85
20200904,312.03,27.83
20200903,316.43,25.3
20200902,311.5,26.26
20200901,309.81,27.59
20200831,307.14,27.77
20200828,312.24,26.4
20200827,311.38,27.22
20200826,314.19,25.44
20200825,313.59,24.63
20200824,309.33,26.44
20200821,306.16,26.89
20200820,301.59,28.18
20200819,313.54,24.38
20200818,312.84,25.21
20200814,319.24,22.58
20200813,323.33,22.12
20200812,322.68,22.86
20200811,321.02,22.98
20200810,316.77,22.94
20200807,312.57,22.07
20200806,311.32,22.06
20200805,306.64,21.58
20200804,303.04,22.42
20200803,299.46,23.52
20200731,299.32,23.57
20200730,301.85,22.91
20200729,301.25,23.33
20200728,300.13,22.92
20200727,293.51,22.96
20200724,290.66,22.5
20200723,292.37,21
20200722,294.04,20.82
20200721,295.16,21.09
20200720,290.81,22.37
20200717,291.57,22.34
20200716,289.25,23.48
20200715,292.27,23.63
20200714,289.63,24.45
20200713,289.84,23.63
20200710,285.06,24.83
20200709,287.25,23.38
20200708,285.97,25.04
20200707,286.77,24.85
20200706,290.62,24.02
20200703,285.89,24.78
20200702,283.86,27.45
20200701,280.26,29.9
20200630,280.09,31.07
20200629,278.04,33.58
20200626,283.38,30.56
20200625,279.73,33.12
20200624,286.7,30.2
20200623,281.94,31.73
20200622,281.42,34.03
20200619,283.37,34.04
20200618,281.91,37.3
20200617,283.02,37.05
20200616,282.59,35.9
20200615,267.95,39.69
